frame,time_s,L_elbow_deg,R_elbow_deg,L_wrist_face_px,R_wrist_face_px,dL_elbow_deg_dt,dR_elbow_deg_dt,dR_wrist_face_px_dt,dL_wrist_face_px_dt,d2L_elbow_deg_dt2,d2R_elbow_deg_dt2,d2L_wrist_face_px_dt2,d2R_wrist_face_px_dt2,L_shoulder_wrist_px,R_shoulder_wrist_px,L_ratio_wf_over_sw,R_ratio_wf_over_sw
30,1.0,54.22379152294356,68.08747257787292,218.56492614746094,229.01602172851562,97.06861083487532,-373.00333797444745,857.2336578369141,-166.15882873535156,15792.016350280972,3937.419648673326,-5746.8109130859375,9649.350357055664,172.8889933095703,314.8927317128906,1.264192254021079,0.7272826542637552
31,1.0333333333333332,71.1364385904549,58.71831119573665,202.9321746826172,263.5843811035156,805.4514824452579,-249.20793553542765,919.9758911132812,-273.50303649902344,12593.06967716974,2772.3366294697116,605.9543609619141,-3358.455276489258,182.0943155751953,287.96881203515625,1.1144344294416866,0.9153226672037537
32,1.0666666666666667,107.92055701929408,51.473610208844406,200.33139038085938,290.3477478027344,936.6065893128581,-188.1808960098,633.3366394042969,-125.76187133789062,-4002.4891768494813,1766.9005541660288,1620.9297180175781,-8993.964385986328,227.02177529199218,264.06207375390625,0.8824324896728342,1.0995435416951438
33,1.1,133.57687787797877,46.172918128416654,194.5480499267578,305.80682373046875,538.6188706552924,-131.4145652576924,320.3782653808594,-165.44105529785156,-11845.264697208011,1243.5850402527751,2348.8014221191406,-7163.4429931640625,228.03109841210937,245.02909951074218,0.8531645520347435,1.2480428828293597
34,1.1333333333333333,143.8284817296469,42.71263919166491,189.30198669433594,311.706298828125,146.9222761656573,-105.27522665961499,155.77377319335938,30.82489013671875,-12108.762274717417,441.20614179947063,5843.294906616211,3048.040008544922,216.48944191796875,231.65658669335937,0.8744167152782695,1.345553361021961
35,1.1666666666666667,143.3716962890226,39.15456968444232,196.60304260253906,316.1917419433594,-268.63194765920207,-102.00082247106103,523.5809326171875,224.1119384765625,-13851.705580891337,437.33222088421337,3908.0738067626953,10895.402526855469,224.354737328125,217.29127602441406,0.8763043960823599,1.4551515722510333
36,1.2,125.91968521903344,35.912584360260844,204.24278259277344,346.6116943359375,-776.5247625604318,-76.1197452673341,882.1339416503906,291.36314392089844,-22956.171243003555,666.8723240177785,1048.7960815429688,6978.398895263672,213.11894326074218,207.92050270898437,0.9583511417044278,1.6670395166419545
37,1.2333333333333334,91.60337878499381,34.07991999995338,216.02725219726562,375.00067138671875,-1799.043363859439,-57.54266753654246,988.8075256347656,294.03167724609375,-5186.729408743591,2581.5658271693037,852.4463653564453,3199.3698120117188,199.7666025625,205.56173806054687,1.081398238875681,1.8242727217857282
38,1.2666666666666666,5.983460961737501,32.07640652449135,223.8448944091797,412.5321960449219,-1122.3067231433379,95.98464321061947,1095.4252624511719,348.1929016113281,47076.42747378332,5094.3925807505,1906.5330505371094,680.82275390625,189.86822609765625,206.0338144765625,1.1789486793543222,2.0022548099348505
39,1.3,16.78293057543794,40.47889621399468,239.2401123046875,448.0290222167969,1339.3851343927822,282.0835045134909,1034.1957092285156,421.1338806152344,39620.86266407103,3711.2909069878715,-3929.4422149658203,-876.4480590820312,197.13180641992187,229.10745339257812,1.2136048294259947,1.9555410161584497
