frame,tsec,S,elbow_L,elbow_R,wristflex_L,wristflex_R,line_off_L,line_off_R,wristdrop_L,wristdrop_R,chintuck_deg,torso_tilt_deg,reach_L,reach_R,guard_ok_L,guard_ok_R,punch_arm
110,3.6855,113.746,47.00,44.69,0.98,15.60,0.7486,1.1867,0.0618,0.3960,177.32,127.13,82.31,102.30,0,0,R
111,3.7190,118.171,44.92,38.24,8.04,22.01,0.7010,1.1845,0.0720,0.2823,179.18,128.56,80.54,91.73,0,0,R
112,3.7525,126.357,39.44,36.07,15.91,18.71,0.6791,1.1954,0.0505,0.1400,175.91,130.09,69.23,97.85,0,0,R
113,3.7860,137.405,24.74,33.41,7.90,20.83,0.5649,1.0913,0.0892,0.1873,167.25,132.85,43.40,86.26,0,0,R
114,3.8195,133.581,21.63,32.97,7.72,19.44,0.6107,1.1530,0.1036,0.2360,167.34,130.76,38.27,85.69,0,0,R
115,3.8530,118.142,29.81,32.27,98.33,9.94,0.4296,1.2396,0.2834,0.4879,174.51,129.57,47.08,67.42,0,0,R
116,3.8865,103.433,44.09,34.60,17.82,3.99,0.4894,1.3846,0.5435,0.7115,179.82,130.89,54.72,61.59,0,0,R
117,3.9200,121.548,72.17,38.45,61.80,17.82,0.1822,1.0621,0.5790,0.7455,169.98,130.54,52.64,53.34,0,0,R
118,3.9535,136.230,69.51,41.47,99.84,21.04,0.2691,0.8669,0.4849,0.7624,167.12,130.74,58.86,44.69,0,0,L
119,3.9870,149.054,91.61,45.75,21.83,19.14,0.3100,0.7274,0.2190,0.7487,163.10,129.84,102.69,40.18,0,0,L
120,4.0205,152.689,129.26,50.68,28.94,12.39,0.2099,0.7230,0.1007,0.7758,159.96,131.74,139.83,41.89,0,0,L
121,4.0540,149.225,150.51,48.05,4.23,9.39,0.1544,0.7167,0.1405,0.7456,157.59,131.74,179.22,36.16,0,0,L
122,4.0875,148.158,164.05,47.57,0.68,11.88,0.1100,0.5425,0.3536,0.7601,154.38,130.02,227.04,16.76,0,0,L
123,4.1210,155.981,157.44,94.85,3.43,9.74,0.1437,0.4146,0.3467,1.0987,148.38,130.40,219.41,16.10,0,0,L
124,4.1545,149.649,144.17,67.54,8.44,12.09,0.1920,0.4911,0.1900,0.9353,149.49,133.65,180.94,10.44,0,0,L
125,4.1880,142.593,137.64,48.96,2.60,8.18,0.2106,0.4980,0.1946,0.8223,158.48,132.51,155.45,3.26,0,0,L
126,4.2215,129.948,62.71,50.24,19.02,4.32,0.4918,0.8256,0.2612,0.8466,171.40,126.57,82.47,39.04,0,0,L
127,4.2550,119.414,60.43,42.81,22.31,14.58,0.5725,1.0779,0.4349,0.5590,173.86,129.00,73.60,77.12,0,0,R
128,4.2885,94.969,52.63,76.82,17.01,20.99,0.7021,0.8841,0.5243,0.3323,179.26,129.34,59.71,145.74,0,0,R
129,4.3221,64.579,61.16,150.81,26.35,4.34,0.8864,0.3718,0.4517,0.0188,175.74,132.22,66.47,186.07,0,0,R
130,4.3556,63.709,101.90,175.90,55.55,4.41,0.7628,0.0698,0.0999,0.1689,170.80,131.31,129.62,248.60,0,0,R
131,4.3891,59.306,101.48,165.77,47.07,6.11,0.8196,0.2604,0.1724,0.1340,164.43,125.58,125.46,247.54,0,0,R
132,4.4226,74.671,95.36,145.91,70.75,12.36,0.5994,0.4329,0.1570,0.0623,168.17,125.72,103.56,211.31,0,0,R
133,4.4561,76.874,67.54,101.90,24.49,2.70,0.7361,0.9401,0.2219,0.2770,169.30,120.79,83.21,177.04,0,0,R
134,4.4896,89.722,57.40,79.54,21.61,17.65,0.8308,1.1248,0.4931,0.5457,167.95,116.68,71.55,161.70,0,0,R
135,4.5231,108.614,47.64,61.85,21.31,15.17,0.5046,1.0805,0.0219,0.7700,176.96,118.99,62.90,114.56,0,0,R
136,4.5566,126.175,125.98,49.07,30.66,8.82,0.2062,0.9546,0.0333,0.7660,171.40,122.04,103.59,75.00,0,0,L
137,4.5901,131.566,179.61,41.24,18.53,12.25,0.0019,0.8125,0.1441,0.7074,166.41,123.16,148.23,54.17,0,0,L
138,4.6236,124.706,169.21,39.18,17.52,18.44,0.0640,0.9039,0.3726,0.6230,166.53,123.49,163.11,59.91,0,0,L
139,4.6571,102.363,49.18,30.13,109.38,8.34,0.0452,1.3436,0.2249,0.4815,174.91,125.49,81.76,60.53,0,0,L
140,4.6906,103.870,17.49,27.77,88.41,0.11,0.1270,0.7616,0.0927,0.7805,173.58,126.14,76.19,25.03,0,0,L
141,4.7241,138.054,176.50,30.79,87.25,17.49,0.0021,0.1727,0.0060,0.8689,152.71,132.40,95.59,15.11,0,0,L
142,4.7576,144.899,69.87,8.11,7.99,4.98,0.1532,0.0397,0.0976,0.7666,151.26,135.17,81.92,34.57,0,0,L
143,4.7911,147.238,172.78,49.62,97.72,5.93,0.0059,0.2231,0.3420,0.7966,152.80,137.81,77.98,20.68,0,0,L
144,4.8246,148.608,104.20,88.12,32.53,35.44,0.0480,0.4241,0.3980,1.0221,155.24,136.28,73.19,0.58,0,0,L
145,4.8581,143.343,44.28,82.39,3.25,23.32,0.3587,0.4678,0.1094,1.0197,161.85,134.63,75.54,7.91,0,0,L
146,4.8916,138.732,48.57,93.37,2.77,20.99,0.5749,0.5565,0.0946,1.2451,166.57,132.45,78.71,34.57,0,0,L
147,4.9251,122.207,40.66,82.24,1.13,19.46,0.6132,0.7534,0.0541,1.1880,169.39,133.26,60.73,82.98,0,0,R
148,4.9586,73.910,44.29,72.58,11.07,39.12,1.0692,1.4787,0.1070,1.0115,160.61,132.41,70.47,143.16,0,0,R
149,4.9921,70.130,50.74,93.28,25.84,7.92,1.0693,1.3447,0.0829,1.0071,151.75,132.92,78.46,192.01,0,0,R
150,5.0256,64.202,63.11,95.21,33.75,10.18,0.6450,1.2719,0.5708,0.5677,160.61,136.09,75.14,186.85,0,0,R
151,5.0591,37.199,73.80,86.96,31.42,30.49,1.5052,2.4040,0.6516,0.5740,151.27,134.03,99.85,176.14,0,0,R
152,5.0926,32.236,78.57,86.45,17.78,25.14,1.8824,2.9337,0.6070,0.9390,152.11,131.57,107.84,178.01,0,0,R
153,5.1262,24.832,61.78,81.63,22.00,32.32,2.8632,3.5709,1.0365,0.2047,150.65,130.29,90.48,154.50,0,0,R
154,5.1597,48.409,58.01,80.52,20.95,40.75,1.5384,2.0188,0.6372,0.8887,154.83,127.91,91.66,167.01,0,0,R
155,5.1932,80.999,44.51,90.64,16.67,36.63,0.9882,1.2070,0.3303,1.2606,163.23,127.97,79.38,170.61,0,0,R
156,5.2267,101.938,46.44,86.99,11.05,35.29,0.5677,0.9778,0.4648,1.2244,171.07,126.97,62.80,144.26,0,0,R
157,5.2602,120.526,60.86,80.13,10.68,30.52,0.2352,0.8598,0.4904,0.9981,179.19,124.49,50.83,130.19,0,0,R
158,5.2937,121.314,71.72,80.14,23.57,18.85,0.2980,0.8695,0.4992,1.0318,178.83,124.46,56.44,129.45,0,0,R
159,5.3272,133.941,39.21,72.32,3.04,7.12,0.3498,0.8330,0.3695,0.8292,174.85,127.78,50.98,125.22,0,0,R
160,5.3607,139.442,40.22,69.61,15.95,26.39,0.5082,0.7682,0.3256,0.7609,170.50,131.04,66.15,116.79,0,0,R
161,5.3942,141.593,43.54,61.38,17.28,25.53,0.5251,0.7614,0.3087,0.7497,167.82,135.10,71.14,95.55,0,0,R
162,5.4277,144.237,37.12,53.00,10.32,14.10,0.4336,0.7890,0.3019,0.6923,164.79,137.23,61.60,83.74,0,0,R
163,5.4612,151.248,27.11,48.02,3.10,7.53,0.3174,0.7243,0.3241,0.6743,158.27,139.20,51.16,68.00,0,0,R
164,5.4947,152.957,17.76,44.95,0.17,1.34,0.2176,0.7376,0.3558,0.6702,155.43,140.48,43.10,60.37,0,0,R
165,5.5282,156.470,26.13,43.20,26.77,3.74,0.2255,0.5582,0.4088,0.7240,156.31,143.98,54.22,37.59,0,0,L
166,5.5617,155.501,37.75,48.20,35.58,9.75,0.1957,0.5070,0.5020,0.8017,157.95,146.39,59.51,26.00,0,0,L
167,5.5952,159.598,15.58,50.39,1.33,15.87,0.1018,0.5364,0.4794,0.7855,158.40,150.88,43.69,26.66,0,0,L
168,5.6287,162.365,8.19,72.75,5.34,8.10,0.0561,0.4517,0.4678,0.9301,157.63,152.28,36.65,20.49,0,0,L
169,5.6622,166.051,6.50,67.63,2.77,1.84,0.0354,0.3652,0.4885,0.8727,157.35,154.88,34.16,4.80,0,0,L
170,5.6957,169.247,1.16,66.19,12.89,10.25,0.0067,0.3356,0.4844,0.8411,156.12,156.53,29.57,0.41,0,0,L
171,5.7292,168.324,1.57,62.13,12.47,21.13,0.0107,0.4100,0.4770,0.8283,155.80,156.84,28.14,6.60,0,0,L
172,5.7627,168.403,4.31,57.52,4.53,24.26,0.0265,0.3984,0.4820,0.7943,155.55,157.73,32.84,5.21,0,0,L
173,5.7962,167.391,10.13,49.36,8.15,20.02,0.0573,0.4556,0.4931,0.7354,155.35,157.21,38.96,10.82,0,0,L
174,5.8297,164.456,15.88,40.62,12.64,13.42,0.2706,0.5378,0.2726,0.6562,156.03,156.19,42.00,17.86,0,0,L
175,5.8632,163.687,17.85,29.71,14.80,8.99,0.4241,0.5382,0.1874,0.5495,155.79,154.93,44.18,16.59,0,0,L
176,5.8968,164.185,14.70,28.03,16.19,3.20,0.3366,0.5414,0.2249,0.5428,152.82,155.98,39.45,15.62,0,0,L
177,5.9303,160.354,12.27,24.39,13.28,3.64,0.2471,0.5439,0.2771,0.5264,152.50,155.64,36.44,10.39,0,0,L
178,5.9638,155.631,10.47,21.48,13.54,0.34,0.1967,0.5900,0.3081,0.4920,152.08,154.50,32.65,9.50,0,0,L
179,5.9973,145.834,12.59,20.50,18.24,8.66,0.3865,0.6936,0.2144,0.4931,153.02,151.12,32.90,12.09,0,0,L
180,6.0308,146.123,10.22,23.72,11.62,10.52,0.2775,0.7272,0.2549,0.5283,155.83,150.24,30.00,17.90,0,0,L
181,6.0643,152.529,8.03,25.40,15.64,7.38,0.0623,0.6352,0.5045,0.5437,154.87,150.75,31.29,16.56,0,0,L
182,6.0978,157.861,0.45,33.07,4.39,5.23,0.0032,0.5264,0.5211,0.6582,155.22,156.14,23.99,11.37,0,0,L
183,6.1313,163.970,2.99,38.66,10.85,15.54,0.0203,0.4960,0.5056,0.6915,154.68,162.90,16.68,11.59,0,0,L
184,6.1648,165.492,10.57,50.10,15.57,11.61,0.0586,0.4604,0.5059,0.7653,155.49,165.33,8.30,12.37,0,0,R
185,6.1983,159.385,17.54,62.65,16.08,27.44,0.0794,0.5075,0.5488,0.8698,158.38,164.20,8.94,20.10,0,0,R
186,6.2318,155.629,8.10,87.80,12.93,12.18,0.0451,0.4279,0.5001,1.0501,161.56,162.59,22.89,12.99,0,0,L
187,6.2653,152.620,149.33,106.71,13.66,17.65,0.0945,0.3517,0.9552,1.1376,162.56,164.35,4.20,3.63,0,0,L
188,6.2988,151.473,175.40,123.00,9.75,10.36,0.0203,0.3024,1.0868,1.2528,162.03,166.54,12.29,5.73,0,0,L
189,6.3323,150.557,156.25,141.22,9.57,0.45,0.1124,0.2448,1.1088,1.4501,160.90,166.46,34.07,19.18,0,0,L
190,6.3658,150.366,162.71,155.38,6.66,11.15,0.0968,0.1676,1.2727,1.5464,159.09,168.83,33.48,37.62,0,0,R
191,6.3993,149.975,167.55,166.54,12.57,21.00,0.0715,0.0918,1.3234,1.5430,157.75,172.38,27.38,54.75,0,0,R
192,6.4328,151.240,170.37,167.33,14.84,13.43,0.0577,0.0930,1.3749,1.6378,158.34,169.07,22.96,58.60,0,0,R
193,6.4663,151.172,171.52,175.79,11.50,2.93,0.0504,0.0298,1.3725,1.5637,158.21,169.10,20.52,75.48,0,0,R
194,6.4998,153.237,171.82,175.99,14.72,9.03,0.0451,0.0295,1.2957,1.5980,158.58,169.40,15.38,86.88,0,0,R
